"Message",Low,"Compilación iniciada."
"Message",Low,"Proyecto ""Unnamed_1"" (destinos predeterminados):"
"Message",Low,"Compilando con la versión de herramientas ""4.0""."
"Message",Low,"Destino ""PrintILCStartMessage"" en el archivo ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" del proyecto ""C:\Users\tecni\documents\visual studio 2015\Projects\XamarinFormsXAML\XamarinFormsXAML\XamarinFormsXAML.UWP\Unnamed_1"" (el destino ""Build"" depende de él):"
"Message",Low,"Usando la tarea ""IlcMessageTask"" del ensamblado ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\ilc.exe""."
"Message",Low,"Tarea ""IlcMessageTask"""
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Ejecución de la tarea ""IlcMessageTask"" terminada."
"Message",Low,"Compilación terminada del destino ""PrintILCStartMessage"" en el proyecto ""Unnamed_1""."
"Message",Low,"Destino ""RunGatekeeper"" en el archivo ""C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\IlcInternals.targets"" del proyecto ""C:\Users\tecni\documents\visual studio 2015\Projects\XamarinFormsXAML\XamarinFormsXAML\XamarinFormsXAML.UWP\Unnamed_1"" (el destino ""Build"" depende de él):"
"Message",Low,"Usando la tarea ""WriteLinesToFile"" del ensamblado ""Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a""."
"Message",Low,"Tarea ""WriteLinesToFile"""
"Message",Low,"Ejecución de la tarea ""WriteLinesToFile"" terminada."
"Message",Low,"Usando la tarea ""StartProcessTask"" del ensamblado ""Microsoft.Build.ILTasks""."
"Message",Low,"Tarea ""StartProcessTask"""
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\Microsoft\.NetNative\x86\ilc\tools\Gatekeeper.exe @""C:\Users\tecni\documents\visual studio 2015\Projects\XamarinFormsXAML\XamarinFormsXAML\XamarinFormsXAML.UWP\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24018.00 "
